SORT
COMPLETE, 5, 7
DEVOTE
HOLD, 0, 3
MEET, 1, 1
MEET, 1, 2
NOTES, 1, 3
ACCEPT, 1, 3
STATUE, 1, 5
OBSERVE, 1, 3
OBSERVE, 1, 6
EXPRESS, 1, 0
EXPRESS, 1, 4
ASSEMBLE, 1, 3
ASSEMBLE, 1, 7
COMPLETE, 1, 5
COMPLETE, 1, 7
OBSERVE, 2, 5
SORT, 3, 1
HOLD, 3, 1
NOTES, 3, 1
COLUMN, 3, 1
OBSERVE, 3, 0
COMPLETE, 3, 1
SORT, 4, 3
MEET, 4, 3
NOTES, 4, 2
STACK, 4, 1
ACCEPT, 4, 5
STATUE, 4, 1
STATUE, 4, 3
SUSTAIN, 4, 3
COMPLETE, 4, 6
OBSERVE
SORT, 0, 1
HOLD, 0, 1
NOTES, 0, 1
COLUMN, 0, 1
DEVOTE, 0, 3
COMPLETE, 0, 1
ASSEMBLE, 1, 5
SORT, 2, 0
NOTES, 2, 4
STACK, 2, 0
STATUE, 2, 0
EXPRESS, 2, 5
EXPRESS, 2, 6
SUSTAIN, 2, 0
SUSTAIN, 2, 2
ASSEMBLE, 2, 1
ASSEMBLE, 2, 2
MEET, 3, 1
MEET, 3, 2
NOTES, 3, 3
ACCEPT, 3, 3
STATUE, 3, 5
DEVOTE, 3, 1
DEVOTE, 3, 5
EXPRESS, 3, 0
EXPRESS, 3, 4
ASSEMBLE, 3, 3
ASSEMBLE, 3, 7
COMPLETE, 3, 5
COMPLETE, 3, 7
SORT, 4, 2
CARRY, 4, 2
CARRY, 4, 3
EXPRESS, 4, 3
DEVOTE, 5, 2
EXPRESS
MEET, 0, 1
MEET, 0, 2
NOTES, 0, 3
ACCEPT, 0, 3
STATUE, 0, 5
DEVOTE, 0, 1
DEVOTE, 0, 5
OBSERVE, 0, 3
OBSERVE, 0, 6
ASSEMBLE, 0, 3
ASSEMBLE, 0, 7
COMPLETE, 0, 5
COMPLETE, 0, 7
ACCEPT, 2, 4
COMPLETE, 2, 3
SORT, 3, 2
CARRY, 3, 2
CARRY, 3, 3
OBSERVE, 3, 4
SORT, 5, 0
NOTES, 5, 4
STACK, 5, 0
STATUE, 5, 0
OBSERVE, 5, 2
SUSTAIN, 5, 0
SUSTAIN, 5, 2
ASSEMBLE, 5, 1
ASSEMBLE, 5, 2
SUSTAIN
SORT, 0, 0
NOTES, 0, 4
STACK, 0, 0
STATUE, 0, 0
OBSERVE, 0, 2
EXPRESS, 0, 5
EXPRESS, 0, 6
ASSEMBLE, 0, 1
ASSEMBLE, 0, 2
COLUMN, 1, 3
STATUE, 1, 4
SORT, 3, 3
MEET, 3, 3
NOTES, 3, 2
STACK, 3, 1
ACCEPT, 3, 5
STATUE, 3, 1
STATUE, 3, 3
DEVOTE, 3, 4
COMPLETE, 3, 6
CARRY, 4, 1
STACK, 4, 2
ACCEPT, 4, 0
STATUE, 4, 2
ASSEMBLE, 4, 0
NOTES, 6, 0
COLUMN, 6, 5
ASSEMBLE
CARRY, 0, 1
STACK, 0, 2
ACCEPT, 0, 0
STATUE, 0, 2
SUSTAIN, 0, 4
SORT, 1, 0
NOTES, 1, 4
STACK, 1, 0
STATUE, 1, 0
OBSERVE, 1, 2
EXPRESS, 1, 5
EXPRESS, 1, 6
SUSTAIN, 1, 0
SUSTAIN, 1, 2
MEET, 3, 1
MEET, 3, 2
NOTES, 3, 3
ACCEPT, 3, 3
STATUE, 3, 5
DEVOTE, 3, 1
DEVOTE, 3, 5
OBSERVE, 3, 3
OBSERVE, 3, 6
EXPRESS, 3, 0
EXPRESS, 3, 4
COMPLETE, 3, 5
COMPLETE, 3, 7
MEET, 4, 0
COLUMN, 4, 4
COMPLETE, 4, 2
OBSERVE, 5, 1
HOLD, 6, 2
COLUMN, 6, 2
COMPLETE, 6, 4
COMPLETE
CARRY, 0, 0
STACK, 0, 3
ACCEPT, 0, 1
ACCEPT, 0, 2
COLUMN, 0, 0
SORT, 1, 1
HOLD, 1, 1
NOTES, 1, 1
COLUMN, 1, 1
DEVOTE, 1, 3
OBSERVE, 1, 0
MEET, 2, 0
COLUMN, 2, 4
ASSEMBLE, 2, 4
ACCEPT, 3, 4
EXPRESS, 3, 2
HOLD, 4, 2
COLUMN, 4, 2
ASSEMBLE, 4, 6
MEET, 5, 1
MEET, 5, 2
NOTES, 5, 3
ACCEPT, 5, 3
STATUE, 5, 5
DEVOTE, 5, 1
DEVOTE, 5, 5
OBSERVE, 5, 3
OBSERVE, 5, 6
EXPRESS, 5, 0
EXPRESS, 5, 4
ASSEMBLE, 5, 3
ASSEMBLE, 5, 7
SORT, 6, 3
MEET, 6, 3
NOTES, 6, 2
STACK, 6, 1
ACCEPT, 6, 5
STATUE, 6, 1
STATUE, 6, 3
DEVOTE, 6, 4
SUSTAIN, 6, 3

